Date,Close/Last,Volume,Open,High,Low
08/12/2019,$288.65,1580529,$293.14,$294.42,$287.4127
08/09/2019,$294.83,1451132,$296.14,$298.27,$292.15
08/08/2019,$297.78,2506035,$292.75,$297.87,$290.2
08/07/2019,$289.02,2196689,$282.24,$290.26,$282
08/06/2019,$286.21,2552138,$283.63,$286.99,$282.5
08/05/2019,$280.36,4292566,$285.04,$286.87,$276.78
08/02/2019,$293.71,3400897,$295.57,$297.35,$289.42
08/01/2019,$298.44,3210196,$299.15,$304.99,$296.77
07/31/2019,$298.86,3066861,$303.61,$304.95,$295.11
07/30/2019,$303.64,2157952,$305.07,$307.09,$302.55
07/29/2019,$307.22,2778446,$311.94,$311.94,$301.48
07/26/2019,$311.27,1507922,$309.97,$312.5,$309.26
07/25/2019,$308.73,1378470,$308.66,$309.66,$306.1
07/24/2019,$310.27,1459247,$305.81,$310.7317,$305.81
07/23/2019,$307.88,1826893,$309.91,$309.98,$305.22
07/22/2019,$308.55,1336736,$308.39,$309.92,$307.14
07/19/2019,$306.87,2100253,$311.56,$313.11,$305.265
07/18/2019,$310.08,1597673,$307.21,$310.92,$306.85
07/17/2019,$309.39,2298481,$307.13,$310.9566,$306.75
07/16/2019,$305.7,1838747,$308,$308.46,$305.0711
07/15/2019,$308.76,1161681,$310,$310.455,$307.72
07/12/2019,$309.42,1624840,$308.01,$309.7,$304.965
07/11/2019,$307.6,1951519,$307.39,$310.1709,$305.9
07/10/2019,$306.98,1954088,$305.1,$309.32,$305.1
07/09/2019,$304.2,1644254,$300.56,$305.13,$300.2201
07/08/2019,$302.92,1909180,$302.76,$303.11,$300.13
07/05/2019,$303.98,2872770,$304.01,$305.24,$298.93
07/03/2019,$305.7,1585273,$302,$305.86,$301.29
07/02/2019,$301.39,1816885,$301.19,$301.58,$299.3598
07/01/2019,$300.97,2624198,$299.55,$301.9,$297.66
06/28/2019,$294.65,2648300,$294.5,$295.1,$291.95
06/27/2019,$293.23,2596919,$290.04,$294.67,$290.04
06/26/2019,$288.72,2896763,$291.26,$292.76,$288.7
06/25/2019,$287.97,4638470,$299.21,$300.645,$287
06/24/2019,$299.87,2869223,$300,$302.58,$298.685
06/21/2019,$299.33,4015546,$301.46,$304,$299.09
06/20/2019,$302.11,5632525,$293.25,$302.66,$293.25
06/19/2019,$291.21,9738584,$287,$292,$284.34
06/18/2019,$276.78,4529340,$280.37,$280.4908,$276.62
06/17/2019,$275.6,2254229,$274.63,$277.47,$274.63
06/14/2019,$274.28,2262838,$275.91,$277.1,$274
06/13/2019,$276.3,1696743,$278.59,$278.96,$275.915
06/12/2019,$276.84,1313852,$276.13,$277.555,$274.575
06/11/2019,$275.99,2969720,$283.91,$284.89,$272.0301
06/10/2019,$280.34,2487726,$280.98,$284.98,$280.2
06/07/2019,$278.16,2759013,$275.87,$282.37,$275.51
06/06/2019,$274.8,2211787,$273.72,$275.76,$271.045
06/05/2019,$272.86,2650396,$272.78,$273.21,$268.39
06/04/2019,$268.71,3750815,$263.27,$268.93,$257.46
06/03/2019,$259.03,3903421,$270.51,$272.81,$257.53
05/31/2019,$270.9,2526653,$271.28,$272.91,$268.75
05/30/2019,$274.51,1601106,$274.43,$275.09,$272.43
05/29/2019,$273.38,1805982,$275.29,$276.8025,$272.28
05/28/2019,$278.25,2475891,$276.49,$281.45,$275.37
05/24/2019,$274.77,1878339,$273.54,$277.475,$273.54
